HIP,RAICRS,DEICRS,Plx,e_Plx,Vmag,B-V,SpType,pmRA,pmDE
315,0.99220988,-71.27863488,6.67,0.97,9.62,0.657,F8V,7.29,-33.58
316,1.00099668,12.14583388,5.48,1.25,7.26,0.355,F0,17.89,-15.14
317,1.00253201,-80.39507010,5.53,0.62,7.91,0.314,F0III/IV,54.80,-18.63
318,1.00967468,-38.59474913,2.07,1.37,9.45,1.115,G8/K0IV,-8.65,-1.93
319,1.01581829,62.22195138,1.20,0.84,8.19,0.260,O8e,-2.24,-0.49
320,1.02126840,-16.99764075,6.48,4.13,12.14,,F1:,33.37,-0.43
321,1.03267114,-25.89254967,9.88,1.18,8.93,0.607,G2/G3V,110.27,-46.78
322,1.03517441,56.92100467,3.93,0.97,7.65,0.992,G8IV,-15.65,-8.76
324,1.04254351,17.43668381,8.18,1.00,8.53,0.491,F5,-54.40,-16.60
323,1.04272795,49.87020726,6.15,0.89,7.38,1.003,K0,-8.01,-10.94
325,1.04362757,39.12012608,14.48,1.07,8.56,0.615,F8,110.39,-92.11
326,1.04484023,11.26438632,0.82,1.22,8.76,1.692,M0,-5.58,-4.80
327,1.04616137,-4.92610737,2.04,1.28,9.56,0.390,A2,24.09,-1.72
328,1.04953066,-30.13491782,4.24,0.92,7.09,-0.085,B8V,21.90,2.05
329,1.05137431,-10.14127928,9.20,1.50,9.83,0.699,G5,143.74,66.59
330,1.05693212,62.28766460,0.89,0.58,5.90,0.274,A1III,-0.99,-0.37
331,1.05951147,-26.95235161,1.88,2.21,10.80,0.882,Gp,7.81,-13.88
332,1.06083408,-34.41465369,6.58,0.94,8.41,0.563,F6V,67.55,-25.56
333,1.06304747,-17.42485068,5.54,1.44,9.05,0.160,A1/A2IV/V,-13.47,-16.35
334,1.06385875,60.15501928,0.07,0.98,8.79,0.080,B0,-4.86,-1.66
335,1.06601848,14.08162325,5.57,1.09,8.88,0.253,A0,20.54,-35.20
336,1.06656723,65.15296110,1.47,0.77,7.59,1.680,K5,11.16,10.56
337,1.06725539,-25.91498946,11.87,1.49,9.60,0.750,G5,-136.68,-190.18
338,1.06734897,66.34913841,-1.21,1.79,10.66,1.450,B,-0.62,-5.20
339,1.06871389,-59.31518062,4.12,0.84,8.55,0.037,A1V,21.79,-4.11
340,1.07383315,-43.98832631,14.91,1.01,8.11,0.484,F6V,5.43,-53.62
341,1.07749772,-23.25395215,0.58,1.57,9.44,1.069,G8IV,-0.26,-5.18
342,1.07898302,-20.56874520,7.92,1.55,9.60,0.549,G0V,29.29,-51.95
343,1.08233885,-16.52888969,11.29,0.92,5.78,1.084,K0III,53.77,-60.27
344,1.08364803,40.10995515,6.82,2.40,10.66,1.500,M5e-M7e,-4.17,-2.78
345,1.08457463,-29.26883006,7.75,0.91,6.38,0.006,A1V,29.15,3.44
346,1.08780834,-53.90948292,5.27,1.12,8.80,1.031,K1III,59.80,20.09
347,1.08869988,54.27460172,2.46,0.85,7.79,-0.089,B3V,7.15,-4.35
348,1.08880039,12.95705512,16.79,1.13,8.60,0.640,G5,317.80,97.64
349,1.09539438,-29.38157885,4.10,1.06,7.77,-0.058,B8/B9V,20.68,2.45
350,1.09930910,-57.32287483,21.14,1.62,10.37,1.100,,-36.89,74.23
351,1.10262290,-47.06812971,22.52,1.48,9.80,0.855,K0V,293.22,33.72
352,1.11010195,58.06878245,12.99,1.76,10.42,0.800,,436.94,-37.12
353,1.11103092,-44.56734318,5.72,6.20,11.63,0.971,,233.90,22.05
354,1.12334321,51.82930460,3.01,1.40,9.22,1.001,K0,2.09,-5.35
355,1.12550980,-10.50949443,2.03,0.93,4.99,1.619,K3Ibvar,-6.49,-11.88
356,1.12570193,-6.96533727,9.89,1.10,8.43,0.611,G0,-42.55,-17.21
357,1.12719406,-72.89722070,10.92,0.64,7.33,0.444,F2V,11.31,-41.13
358,1.13935928,-76.34653399,0.95,0.79,8.93,1.025,G8III,15.43,17.25
359,1.14426919,-76.87353696,17.09,0.88,9.09,0.639,G3/G5III/IV,177.47,-15.22
360,1.14551227,71.96854252,4.67,0.93,9.26,1.162,K2,-3.02,0.31
361,1.14780002,-71.69499867,3.40,0.93,8.73,1.036,K0III,10.85,-3.02
362,1.15064352,-19.43786312,-0.43,1.49,9.18,1.169,K2III,-11.31,-12.14
363,1.15170942,43.55131855,2.15,1.05,8.12,2.530,C5II,-4.57,-2.54
364,1.15203505,-15.88920125,1.99,1.57,9.26,1.149,K0III,-3.21,-11.15
366,1.15246785,-31.16905083,1.59,1.32,8.94,1.181,K1IV,11.34,0.38
365,1.15248379,42.09256148,1.94,1.12,6.11,0.159,B9III,-11.94,-12.73
367,1.15561443,-81.34531911,1.38,0.79,9.13,0.239,A2/A3IV,1.33,0.45
368,1.15607578,2.93722463,4.83,1.03,7.90,1.249,K2,20.68,1.42
369,1.15890684,29.72229656,1.26,1.47,9.34,0.950,K0,-6.00,-6.91
370,1.15940288,-51.58336438,2.46,0.81,7.13,1.260,K1III,9.42,14.58
371,1.16032911,-50.03593839,0.81,2.56,10.82,1.021,M5,16.26,5.45
372,1.16559564,-70.40421693,4.15,0.66,7.46,1.072,K0/K1III,83.78,-17.85
373,1.16597990,-8.18490648,1.39,1.34,8.72,1.508,K2,1.18,-19.23
374,1.16704444,34.26519797,6.13,1.59,7.02,1.100,K0,-15.80,-30.38
375,1.16729373,34.27150566,6.13,1.59,9.08,,,123.40,-59.91
376,1.17156400,6.52258527,4.04,1.18,8.37,0.881,K0,-68.65,-55.87
377,1.17188841,-71.43685835,5.70,0.53,5.59,-0.100,B8III,30.00,-13.62
378,1.17191906,14.96533616,11.46,0.84,7.37,0.422,F5IV,7.51,-42.24
379,1.17432297,67.16638761,10.30,0.58,5.68,1.051,K1III,95.58,23.80
380,1.17796311,17.06977988,7.35,1.12,8.56,0.792,G5,73.31,-18.46
381,1.18518654,51.53385066,2.46,1.14,8.72,-0.014,A2,10.28,-5.27
382,1.18816317,-32.36102308,4.16,1.20,9.06,0.368,F0V,-18.85,-9.18
383,1.18887204,0.05649086,4.08,1.20,8.82,0.433,F0,3.47,4.68
384,1.19286162,1.53694172,5.84,1.20,8.18,0.376,A5,-18.84,-19.35
385,1.19515384,38.17382611,9.37,2.81,9.39,0.735,G5,22.27,-64.96
386,1.20394853,68.18869710,-0.59,1.02,9.10,0.652,B2,-0.94,-1.15
387,1.20814095,38.78622411,1.61,0.92,8.46,0.556,F2,-3.01,-4.25
388,1.21025761,6.41668139,5.46,1.38,9.15,0.394,A3,-9.52,-11.96
389,1.21171086,-29.63304603,5.65,1.16,8.28,0.002,A0IV,21.46,2.90
390,1.21175230,50.23487696,4.86,2.61,11.67,,F7,-4.54,-2.23
391,1.21196013,43.97079063,6.95,1.91,8.18,0.430,G0,-91.44,-29.53
392,1.21651501,30.08593131,10.47,1.53,7.93,0.478,F5,71.44,-33.54
393,1.21827175,51.98257157,3.05,1.34,9.21,0.964,K0,25.30,5.99
394,1.22172791,34.65955259,27.18,4.30,6.09,0.632,G2V,769.11,100.49
395,1.22216274,-30.25661295,3.15,1.10,8.31,0.036,A0IV/V,17.66,3.82
396,1.22460634,-31.99660262,2.91,0.97,7.83,1.256,K2III,2.70,-20.85
397,1.22530082,52.24894130,3.73,1.10,8.72,0.082,A0,13.22,-3.38
398,1.22902690,58.53217392,2.13,0.82,6.61,0.025,B3V,9.06,-3.04
399,1.23302998,26.64879958,5.34,0.77,6.25,1.368,K4IIIb,112.32,-14.52
400,1.23366004,23.26964739,39.06,0.93,7.82,0.755,G9V,382.15,-7.45
401,1.23422583,56.05695930,3.49,1.20,8.66,1.614,K5,-3.60,-3.83
402,1.23494365,64.78140759,6.02,0.81,8.15,0.475,F5,-8.63,5.09
403,1.23720433,-18.17850304,11.56,1.31,8.97,0.674,G3V,-14.70,-91.68
405,1.23950992,51.18064908,1.55,1.04,8.15,1.201,K2,0.39,-2.30
404,1.23961728,45.67395209,14.53,1.21,7.47,0.550,F8V,17.18,-65.33
406,1.24392487,26.72525618,1.67,1.10,8.63,1.570,M0,22.95,2.43
407,1.24427458,-70.21220744,22.09,0.71,8.13,0.710,G5V,52.32,-97.72
408,1.24502692,57.46874679,4.41,1.10,8.23,0.986,G9III,23.21,-3.47
409,1.24608894,-70.49241628,8.49,0.77,8.41,0.461,F5V,-0.59,-27.33
410,1.25472644,27.67479979,7.63,0.76,6.47,0.946,G8II,83.36,-6.57
411,1.25663332,33.36001239,-0.99,1.46,9.83,1.540,K5,1.24,-1.16
412,1.25755802,66.51678960,6.19,1.54,8.64,1.300,F5,43.49,0.09
413,1.26034142,-36.01527326,19.78,0.87,7.73,0.537,G0V,210.16,62.72
414,1.26224739,-59.82810463,1.96,0.95,8.64,0.889,G6III,-1.51,-6.84
415,1.26379805,9.28002796,8.38,1.24,8.94,0.415,F2,9.88,-27.69
416,1.26440114,1.03782858,8.73,1.17,8.84,0.759,G5,108.93,-48.88
417,1.26581912,-0.50290553,6.95,0.81,6.32,1.099,G9III:,44.86,-53.47
418,1.27555231,61.31396468,4.50,0.56,5.80,-0.067,B8MNp...,14.29,2.24
419,1.27871117,-42.56781669,5.12,1.34,8.97,0.860,G8/K0V,-67.38,-21.10
420,1.28166779,-52.15142338,23.90,0.85,7.53,0.577,G0V,-110.55,-130.74
421,,,,,8.83,,,,
422,1.28675856,67.84002075,2.53,0.69,7.41,1.288,K0,7.13,-7.08
423,1.28858787,30.32911509,5.43,1.90,7.80,0.437,F0,-44.71,-34.32
425,1.29047896,-62.84527102,14.25,0.83,8.14,0.593,G0V,61.96,20.91
424,1.29075302,45.22907883,6.66,0.75,6.71,0.068,A1Vn,-27.19,-20.38
427,1.29143885,-43.85083352,1.42,1.20,8.73,1.124,K1III,45.23,1.19
426,1.29174694,30.33130736,6.64,8.01,9.37,0.510,F0,-47.21,-37.27
429,1.29232665,2.39731072,11.12,1.22,8.69,0.644,G5,41.95,-42.19
428,1.29233645,45.78693438,86.98,1.41,9.95,1.472,M2,869.68,-151.13
430,1.29294285,-32.46851165,6.27,0.87,7.10,1.128,K1III,-62.32,-65.92
431,1.30198518,36.30368114,2.45,0.90,8.09,0.496,F5,30.18,-4.15
432,1.30417878,35.57110311,10.35,0.81,6.88,0.174,A2,2.96,-37.47
433,1.31190920,3.00739806,-0.08,1.69,9.48,1.037,K2,-12.35,2.85
434,1.31348863,-27.27160831,1.40,1.32,9.04,0.692,F2V,130.26,-41.05
435,1.31357538,-49.14221463,10.28,1.33,9.30,0.538,F3/F5V,47.02,30.07
436,1.32445343,-67.83122670,62.48,0.82,8.49,1.076,K5V,-117.19,-560.77
437,1.32451324,48.47719511,3.18,1.04,8.30,0.998,G5,-6.25,-9.73
438,1.32686621,-1.79412136,2.21,1.04,7.95,0.991,G5,54.07,14.92
440,1.33276937,68.88440910,5.31,0.63,7.08,-0.006,B9,37.01,9.92
441,1.33296709,-38.85723115,4.29,0.83,6.93,0.940,G8III/IV,73.31,32.46
442,1.33346262,-21.31530277,4.33,1.15,8.38,-0.060,B9V,-19.41,-14.59
443,1.33394073,-5.70783255,25.38,1.05,4.61,1.029,K1III,-8.29,88.19
703,2.19229374,-86.18850470,-2.92,2.50,11.01,1.500,,4.79,6.34
439,1.33455564,-37.35168110,229.33,1.08,8.56,1.462,M2V,5634.07,-2337.94
444,1.33660254,-59.81448691,1.29,1.02,8.78,1.156,K2III,44.28,-7.08
445,1.34012165,-56.95562054,9.55,0.76,7.42,0.191,A1Vs,33.77,-11.65
447,1.34190030,8.78795370,1.69,1.27,8.26,1.052,G4V:p,259.85,-59.32
446,1.34229760,-79.25391278,5.05,0.64,7.71,1.093,K0III,23.81,66.32
448,1.34271288,3.60610712,6.75,1.03,6.91,1.120,G5,-20.57,-6.31
449,1.34473977,-33.49941419,9.89,1.18,9.16,0.782,G8IV,28.76,21.23
450,1.34994786,28.54375172,3.30,1.34,8.99,1.199,K7,-3.74,-11.46
451,1.35116229,16.32907717,4.55,0.99,8.63,0.460,G0,33.98,-29.12
452,1.35565957,21.56940242,2.61,1.46,9.90,0.599,F8,37.44,-0.91
453,1.35611944,-3.85159559,4.65,0.92,7.59,1.045,K0,-5.85,-31.99
454,1.36004465,-14.42209198,4.76,0.99,7.39,0.990,K0III,13.71,-41.06
455,1.36474708,76.29156292,6.35,13.02,11.99,,,-10.40,1.81
456,1.36543236,-37.30254152,4.79,0.99,7.78,1.123,K0III,47.03,2.14
457,1.36678819,-42.88738421,2.01,0.96,7.47,1.620,M3III,-12.75,-1.29
458,1.36762563,-7.66532823,3.07,0.93,6.97,1.444,K5,20.67,-37.87
459,1.36813317,-61.22566452,18.57,0.95,8.82,0.666,G5V,82.34,-77.70
460,1.36976446,22.22467477,22.20,1.14,9.13,0.735,G5,169.54,-75.17
461,1.37106856,34.10565584,11.04,0.91,7.86,0.494,F8,-14.88,26.52
462,1.37961808,-9.61729691,19.81,0.94,7.13,0.446,F5,92.83,-71.33
463,1.38325838,-35.12972759,-1.03,1.35,9.45,0.995,G8III/IV,-3.54,-4.42
464,1.38388036,-31.96763926,0.75,22.30,12.04,0.501,A0,-21.68,-81.45
465,1.39092668,76.28582649,3.94,1.45,8.78,1.249,K2,10.50,-3.56
466,1.39547600,53.17169568,3.52,0.83,7.23,1.174,K0,16.36,-0.82
467,1.39643718,-47.56931860,6.89,1.46,9.73,0.725,G5V,75.27,-13.52
468,1.39896188,-61.30989474,4.25,0.72,7.36,0.993,K0III,4.88,9.09
1902,,,,,8.88,,Ne...,,
469,1.40103106,-51.26045604,2.30,0.82,7.36,1.444,K3/K4III,12.06,-14.52
470,1.40397116,43.40143611,0.47,0.94,8.47,-0.180,B1.5IV,12.18,-6.32
471,1.41191024,-58.28951949,2.52,1.10,9.37,1.537,K5,-2.67,-8.50
472,1.41549758,55.70990230,4.25,0.78,6.99,1.187,K0III,8.82,-1.82
473,1.41782275,45.81245496,85.10,2.74,8.20,1.410,K2,878.73,-153.87
474,1.42019898,44.46868671,7.00,1.01,8.36,0.247,A0,-1.44,-4.46
475,1.42333268,58.31365552,21.03,1.06,8.22,0.636,G0,65.98,-162.94
476,1.42473238,13.39628227,8.75,0.80,5.55,0.901,G5III,42.59,-6.51
477,1.42893454,-29.96063430,5.59,1.70,9.91,0.353,A9/F0V,22.96,-0.20
478,1.42927167,-22.50977022,2.19,1.68,9.67,0.524,F3/F5V,38.35,-2.37
480,1.43016919,-15.36550173,1.87,1.29,8.60,1.100,K1III,-10.35,7.55
479,1.43020191,25.61517178,1.32,1.52,10.07,0.923,G5,-4.22,-0.58
481,1.43360334,-36.77845599,7.28,1.45,10.15,0.677,G5,-13.98,-75.30
482,1.43504635,17.84032678,5.95,1.68,7.75,0.414,F2+...,56.51,-14.95
483,1.43904170,81.07146901,4.01,0.94,9.21,0.097,A0,20.32,1.02
484,1.44169115,-19.66981225,-0.26,1.41,9.66,0.787,G5V,-25.09,-178.78
485,1.44777978,47.08729369,2.62,1.01,8.47,0.045,A0,5.29,-0.53
486,1.45705278,-52.82010001,6.18,1.34,9.37,0.507,F6V,12.27,15.20
487,1.46242223,78.73840785,11.21,1.34,9.44,0.617,G0,97.43,44.31
488,1.46256763,-68.55128874,7.92,1.61,9.99,0.646,G5/G6V,-62.33,-34.68
489,1.46611168,2.76462706,13.23,1.74,10.38,0.782,,-82.76,-124.39
490,1.46861724,-41.75288210,24.85,0.92,7.51,0.595,G0V,97.62,-76.40
491,1.46996926,12.52743978,2.92,1.19,8.91,1.190,K0,2.84,-34.41
493,1.47850515,18.23536692,26.24,0.82,7.45,0.596,F8,-150.87,-149.70
492,1.47853237,-14.43272890,6.50,1.46,9.57,0.510,G0,-7.10,-21.10
494,1.47971363,-68.81162782,12.99,0.94,8.99,0.585,F8V,-37.21,11.68
495,1.48151411,18.07622626,25.77,2.07,8.58,0.920,K0...,-149.96,-147.27
496,1.48628758,24.56904604,5.31,0.73,6.90,1.564,K5,34.93,-17.05
497,1.48768965,49.62234797,7.05,1.15,7.55,0.300,A3,-6.91,-1.86
498,1.49280820,44.73937991,4.26,0.91,7.93,0.239,A3,-2.15,0.54
499,1.49565621,-54.64056978,0.87,1.53,9.71,0.915,G8IV/V,-20.82,-23.99
500,1.50012278,-48.67872936,1.54,1.37,9.57,1.812,M1/M2,18.13,-12.18
501,1.50054698,-39.13751717,4.19,1.14,8.55,1.357,K3III,8.33,-27.75
502,1.50224247,28.27696051,2.90,0.77,6.62,1.531,K5III,-5.09,-4.69
503,1.50439459,16.45207976,3.07,1.01,7.89,0.930,G5,4.60,-0.90
504,1.51336417,24.91664125,5.66,0.82,7.51,1.112,K1III-IV,85.60,-16.84
505,1.51413834,63.67965857,0.08,0.65,7.36,0.126,O6pe,-5.39,-0.93
506,1.51463805,53.27691513,1.33,1.08,8.66,-0.039,A2,1.87,-0.10
507,1.51738261,-84.09820798,1.80,0.83,8.51,1.576,K3III,19.96,2.06
508,1.51773179,40.41853643,3.28,0.85,6.65,0.912,G5,-2.99,-2.59
509,1.52168260,-31.44433776,13.05,1.67,9.67,0.633,G3V,-61.52,4.68
510,1.53342667,9.71496461,11.07,1.00,7.80,0.501,F5,21.00,-10.87
511,1.53351571,0.12143808,5.34,1.01,8.21,1.108,G5,12.33,-8.04
512,1.53776681,-29.15139035,4.39,0.96,7.90,-0.030,B9V,17.44,3.49
513,1.54746485,87.88938595,2.09,1.20,8.94,1.000,K0,-9.03,15.82
514,1.54892826,-23.53856546,5.66,1.65,9.82,0.418,F2V,-14.53,-5.95
515,1.55483056,-1.88705095,7.38,1.55,8.69,0.509,F8,-9.75,-46.60
516,1.55910676,-32.81635348,-0.16,1.12,8.57,1.612,M1III,14.06,1.41
517,1.56378577,-55.49869634,5.95,1.14,8.89,0.476,F5IV/V,60.35,0.04
518,1.56474395,58.43668966,49.30,1.05,5.98,0.687,G5V,247.36,17.77
519,1.57000983,-64.24051492,5.38,1.67,7.92,0.459,F3IV,36.94,17.19
520,1.57055075,-10.77847003,2.35,1.15,7.60,1.539,M...,17.51,-3.02
521,1.57776022,-1.23801760,4.71,1.03,8.22,1.220,K2,-19.71,-32.50
522,1.57776340,-49.07509405,39.00,0.64,5.70,0.519,G1IV...,575.21,-39.94
523,1.57876020,-65.83919547,56.92,2.73,12.17,1.550,M4,195.80,-552.50
524,1.58300753,-12.01719883,7.24,1.32,8.75,0.487,F6/F7V,66.50,5.96
525,1.58393383,40.89871965,8.60,0.73,6.93,1.086,K0,82.91,10.65
526,1.58409669,60.45712221,4.78,0.82,7.97,0.256,F0,43.26,-0.39
527,1.58655035,68.63612309,3.09,0.80,8.06,1.431,K2,15.66,-8.07
528,1.59090838,-24.60254997,4.69,1.62,10.13,0.593,F8,-14.64,-29.53
529,1.60400514,-18.03825665,6.73,0.90,7.31,0.402,F2IV,14.92,1.87
530,1.60817878,42.75275856,8.11,0.91,8.35,0.624,G1V,79.25,0.52
531,1.61052855,64.19616859,3.32,0.54,5.57,-0.023,B9III,9.70,0.01
532,1.61191859,-74.40111182,4.60,1.18,9.85,0.526,F6V,31.88,5.27
533,1.61287384,-16.73761149,-1.67,1.78,9.16,1.045,G8III,-3.08,-5.64
534,1.61464392,-52.93312701,3.63,1.27,9.03,1.349,K1/K2III:,8.55,-1.03
535,1.61846773,-43.62772225,5.95,1.54,10.07,0.590,F5,-2.42,-16.62
536,1.62196859,27.09013496,2.90,1.34,9.76,1.390,M6e,-1.36,-11.78
537,1.63047980,-21.50128389,3.91,1.56,9.35,0.410,F2V,19.98,8.20
538,1.63200384,5.82530112,13.26,2.41,10.95,1.008,K1,200.72,38.74
539,1.64150277,43.78227474,6.15,1.06,8.87,0.426,F8,-7.17,-21.31
540,1.64810682,28.55343687,5.13,0.79,6.68,0.986,G9III,-8.29,-13.54
541,1.64849601,-47.58474443,10.02,3.40,9.69,0.578,F6V,5.34,6.21
542,1.64950882,56.51450029,4.21,1.09,8.05,0.112,A0,4.58,-8.15
543,1.65072541,-25.29566618,2.04,1.67,10.30,0.506,F5,48.19,-7.84
544,1.65221045,29.02193518,72.98,0.75,6.07,0.752,K0V,379.94,-178.34
545,1.66031971,33.65427137,4.00,1.09,8.51,1.107,K0,37.39,-9.10
546,1.66184341,-36.08467578,5.02,0.87,7.71,1.038,G8III,13.38,-38.63
2189,,,,,7.82,,,,
547,1.66505810,-24.62067192,5.61,1.12,8.56,0.548,F7V,-25.68,-69.14
548,1.66696429,70.16926509,2.44,0.98,8.26,1.233,K0,-0.03,-4.61
549,1.67070715,65.58769959,-0.29,2.47,11.55,0.490,,4.07,-2.43
550,1.67432667,56.32466451,2.41,1.12,8.62,0.148,B9,-3.89,-2.52
551,1.68263710,8.65733696,5.29,6.06,10.92,0.792,,-39.30,-55.57
552,1.68869427,-6.26131902,1.92,2.72,10.51,0.759,,5.73,3.40
553,1.69021404,-21.09148372,2.30,10.40,9.83,0.587,G2/G3V,-246.51,-433.74
554,1.69303391,-13.74868727,9.89,1.59,9.84,0.690,G0,-75.12,-81.81
555,1.69415329,10.06899229,4.82,1.50,9.74,0.494,F8,13.09,23.99
556,1.69557460,-4.34981191,9.08,1.09,8.21,0.574,F8,58.30,-88.21
557,1.69574083,23.49381547,6.36,0.97,8.72,0.410,F4IVws,40.61,2.69
558,1.69675999,-70.58944075,1.65,0.76,8.03,1.631,K5p...,5.83,2.20
559,1.69982422,44.61284407,0.55,1.10,9.00,-0.090,F5,-4.15,-4.79
560,1.70843563,-23.10742543,25.59,0.75,6.19,0.386,F2IV,97.30,-47.09
561,1.70960701,68.16712552,3.17,2.20,11.79,0.710,,1.37,-1.14
562,1.71097517,20.55974087,3.69,1.00,8.22,0.951,G5,2.91,7.43
563,1.71117886,31.13044847,4.96,0.97,7.93,1.107,K0,48.11,-10.64
564,1.71380391,-45.86393212,0.77,1.61,10.18,0.580,F5V,14.88,23.20
565,1.71801703,1.86101143,6.64,1.23,8.98,0.567,F8,52.67,7.45
566,1.71819731,49.38212406,1.34,1.33,9.13,1.125,K0,-7.64,-3.97
567,1.72206966,-38.87768936,3.69,0.80,6.91,1.123,K0III,-11.35,8.97
568,1.72236956,-55.16079775,1.16,1.17,8.79,1.234,K3III,16.42,-12.52
569,1.72480379,-3.62572272,18.71,1.05,8.23,0.580,G0,-123.77,-222.42
570,1.73076217,-30.60851144,3.82,3.43,12.19,,,15.21,3.89
571,1.73226563,-30.60308180,3.82,3.43,10.24,0.402,F2/F3V,15.21,3.89
572,1.73390197,38.20259978,2.00,1.14,8.83,1.114,G5,1.40,-24.92
573,1.73459748,-43.98527000,3.73,0.94,7.62,0.955,G8III,41.23,16.72
574,1.74792713,-40.41400635,4.04,1.13,8.96,0.446,F3IV/V,20.34,-6.27
575,1.74821471,65.53871712,2.89,1.90,10.41,0.510,B8,-1.68,-1.36
576,1.74865205,53.97486354,3.75,1.18,8.97,0.050,A,-1.79,-4.20
577,1.75224377,32.87028504,15.97,1.47,9.61,0.761,G5,176.90,-76.84
578,1.75830785,22.84448874,8.40,0.93,8.29,0.387,F0,11.06,-15.23
579,1.76013095,5.28802852,0.43,1.15,8.30,1.552,M...,-4.57,-13.50
580,1.76070652,-18.82075644,4.01,1.06,8.26,0.494,F5,59.16,9.40
581,1.76733158,6.87560716,7.12,0.92,7.44,0.203,A5,-36.14,-24.37
582,1.77282221,62.39273559,4.40,1.07,9.52,0.190,A0V,7.17,-2.62
583,1.77548337,85.40485204,4.41,0.71,8.20,0.295,A3,28.93,3.50
584,1.78153664,-15.85008750,7.89,2.34,8.68,0.529,F5V,72.06,-29.35
585,1.78247366,-30.56157424,4.33,1.16,8.65,0.061,A1V,19.77,3.60
586,1.78337358,-23.03614091,6.74,2.27,10.52,0.512,G0,24.50,-44.35
587,1.78443728,-37.92914178,5.14,1.01,8.41,0.405,F3V,-15.77,-10.95
588,1.78467109,14.82374977,5.85,1.26,9.18,0.333,F2,12.04,-9.08
589,1.78773802,72.77522493,4.84,0.88,8.42,0.345,A3,19.28,-2.33
590,1.79242036,34.85379559,3.28,1.10,8.86,1.552,M5,1.00,-0.56
591,1.79591904,46.75702172,4.03,0.90,7.92,1.054,K0,-4.94,-17.99
592,1.79749147,65.65378903,-0.66,2.25,10.97,0.330,,2.57,-4.17
593,1.80243855,6.20432213,4.19,1.28,8.85,0.323,A3,-7.73,-16.86
594,1.80277966,-60.07079486,6.51,1.20,9.31,0.226,A9V,53.87,-15.50
595,1.80323898,-22.02767673,6.34,2.00,10.28,0.503,F3V,-13.65,-22.71
596,1.80537479,-76.73091557,11.92,0.61,7.56,0.419,F5IV-V,78.25,-5.43
597,1.80711473,73.21031615,4.23,0.74,7.88,0.407,F2,39.29,-8.02
598,1.81025436,20.55571109,3.54,1.00,7.99,1.441,K0,12.29,1.16
599,1.81427471,-41.88961116,17.18,1.00,8.23,0.599,F8/G0V,-63.89,18.52
600,1.81932153,-27.39777661,2.20,1.24,8.52,1.084,K1III,-13.40,-25.19
601,1.82562487,20.96559758,17.98,2.35,9.14,0.740,G5,4.66,-218.76
602,1.82613856,-17.38703103,6.24,0.85,6.20,0.133,A2IV/V,-10.77,17.02
603,1.82662524,7.70357212,5.87,1.72,7.64,0.493,F5,-4.44,-5.68
604,1.83122750,1.66508782,8.23,1.18,8.95,0.653,G0,-81.37,-4.47
605,1.84185174,-56.83685592,2.87,0.87,7.48,1.532,K5III,14.39,-20.88
606,1.84336535,-25.35632439,20.63,0.91,7.06,0.463,F5V,210.67,-133.54
607,1.84365756,26.45088655,9.37,0.84,7.33,1.011,K1IV,131.20,-117.65
608,1.84541576,-11.03336416,1.52,2.42,8.98,0.739,G5,-27.64,-13.11
609,1.84680800,-11.61292585,7.19,1.22,8.24,0.271,A6:m...,-4.62,-11.17
611,1.85529015,-40.47958534,7.21,1.14,8.53,0.909,K0V,185.87,10.37
610,1.85792694,-77.49416581,2.19,0.77,8.40,1.014,G8III,-0.76,-9.52
612,1.86689616,-56.01154749,7.51,0.77,7.48,0.466,F5IV/V,73.66,26.59
613,1.87192965,17.30273637,1.63,1.06,8.46,1.590,K0,3.19,0.23
614,1.88011435,35.74574814,2.41,1.07,9.29,1.010,K0,-11.32,-3.79
615,1.88037933,24.32121026,5.48,0.94,8.57,0.249,A5,24.98,-1.18
616,1.88473813,-23.81894320,30.76,1.21,8.70,0.798,K0V,319.74,92.09
617,1.88664549,32.00877870,10.08,0.93,8.50,0.451,F5,-32.12,-14.06
618,1.89458828,-60.64172798,8.86,1.46,8.37,0.595,F7V,40.28,-38.19
619,1.89656955,31.66904954,6.05,0.77,6.87,1.124,G5,8.35,-20.12
621,1.90242019,-62.31507712,2.50,0.69,7.50,1.703,M1III,3.01,-7.34
620,1.90322981,-86.03877612,2.53,0.57,7.39,-0.018,B9IV,22.73,6.98
624,1.90586322,-45.11929768,8.21,0.99,8.19,0.584,F8/G0V,27.82,-98.92
622,1.90590207,52.77298980,2.74,1.26,7.56,0.900,G5,-7.60,-8.50
623,1.90593260,53.52653764,9.73,1.00,8.37,0.379,F0,53.08,1.91
625,1.90698995,40.07851976,5.37,0.80,7.39,1.008,K0,35.24,-8.78
626,1.90808924,40.14799609,10.14,0.73,6.73,0.951,G5,-25.03,-17.45
627,1.91294578,-66.89539355,2.38,0.88,8.66,0.790,G3III,15.51,2.67
628,1.91669898,1.09425779,2.89,1.06,8.25,0.170,A0,-15.98,-22.12
629,1.91744231,-7.92129475,3.33,1.15,8.47,0.953,G5,10.40,-11.57
630,1.91877912,39.03491283,9.58,0.89,8.01,0.456,F5,-67.60,-56.82
631,1.92048929,-65.93227482,7.84,0.65,6.83,1.158,K1/K2III,29.30,-62.83
632,1.92073631,-56.24955098,1.60,1.32,9.06,1.074,M2III:,20.14,3.36
633,1.92754108,-46.54467295,4.21,1.16,8.79,1.127,K2III,35.12,-16.78
